"Telecommunications: Emergency Telephone Users Surcharge Act. ","Technology and Communication",,,
"Telecommunications.","Technology and Communication",,,
"Telecommunications universal service programs: California Advanced Services Fund.","Technology and Communication",,,
"Teen dating violence.","Social Issues","Health",,
"Teen Driving Safety Week.","Transportation",,,
"Technology-based materials.","Technology and Communication",,,
"Technical education.","Technology and Communication","Education",,
"Teachers’ retirement.","Education","Senior Issues",,
"Teachers’ Retirement Board: members.","Education","Senior Issues",,
"Teachers: program of professional growth: conflict resolution.","Education",,,
"Teachers: professional development.","Education",,,
"Teachers: mandated reporting.","Education",,,
"Teachers.","Education",,,
"Teacher training: Legislative Analyst advisory committee.","Education",,,
"Teacher credentials.","Education",,,
"Teacher credentialing: instruction to pupils with autism.","Education",,,
"Teacher credentialing: fees.","Education",,,
"Teacher credentialing: county-issued eminence credential.","Education",,,
"Teacher credentialing. ","Education",,,
"Teacher credential preparation programs.","Education",,,
"Taxpayer contributions: ___ Fund.","Budget, Spending, and Taxes",,,
"Taxes: credits: Great Schools Tax Credit Act.","Budget, Spending, and Taxes","Education",,
"Taxation: wage withholding.","Budget, Spending, and Taxes","Labor and Employment",,
"Taxation: tax-exempt charitable organizations: administration.","Budget, Spending, and Taxes",,,
"Taxation: sweetened beverage tax.","Budget, Spending, and Taxes","Agriculture and Food",,
"Taxation: sale of principal residence.","Budget, Spending, and Taxes","Housing and Property",,
"Taxation: rate reduction.","Budget, Spending, and Taxes",,,
"Taxation: penalties: corporations.","Budget, Spending, and Taxes","Business and Consumers",,
"Taxation: low-income housing: farmworker housing.","Budget, Spending, and Taxes","Agriculture and Food",,
"Taxation: low-income housing credit.","Budget, Spending, and Taxes","Housing and Property",,
"Taxation: income tax: estimated payments: dependent exemption credit: corporation tax apportionment.","Budget, Spending, and Taxes","Commerce",,
"Taxation: incentive program: television and film production.","Budget, Spending, and Taxes","Technology and Communication",,
"Taxation: homeowners’ property tax exemption and qualified renters’ income tax credit: senior citizens.","Budget, Spending, and Taxes","Housing and Property","Senior Issues",
"Taxation: documentary transfer tax.","Budget, Spending, and Taxes",,,
"Taxation: disaster relief.","Budget, Spending, and Taxes",,,
"Taxation: deposits: qualified tuition programs.","Budget, Spending, and Taxes","Education",,
"Taxation: credits.","Budget, Spending, and Taxes",,,
"Taxation: corporation taxes.","Budget, Spending, and Taxes","Business and Consumers",,
"Taxation: cigarettes and other tobacco products.","Budget, Spending, and Taxes","Health",,
"Taxation: cancellation of indebtedness: mortgage debt forgiveness. ","Budget, Spending, and Taxes","Housing and Property",,
"Taxation: cafeteria plans: credits. ","Budget, Spending, and Taxes",,,
"Taxation: administration.","Budget, Spending, and Taxes",,,
"Tax deductions: 529 college savings plans.","Budget, Spending, and Taxes","Education",,
"Tax amnesty: penalty.","Budget, Spending, and Taxes","Legal Issues",,
"Tax amnesty.","Budget, Spending, and Taxes",,,
"Tax administration: disclosure information: Franchise Tax Board and cities.","Budget, Spending, and Taxes","Commerce",,
"Task force for education technology. ","Education","Technology and Communication",,
"Talent services.","Other",,,
"Talent agencies: employment inquiries.","Labor and Employment",,,
"Taiwan: World Health Organization participation.","Health",,,
"Sustainable agriculture research: agricultural chemicals.","Agriculture and Food",,,
"Surrogacy practitioners.","Other",,,
"Surplus state real property: exemption from the California Environmental Quality Act. ","Environmental","Housing and Property",,
"Surplus state property: County of Napa.","State Agencies",,,
"Surplus state property: Compton Armory.","State Agencies",,,
"Surplus funds: investments.","Budget, Spending, and Taxes",,,
"Surface water storage.","Environmental",,,
"Surface mining: idle mines: low gross exemption. ","Business and Consumers","Environmental",,
"Support of Israel.","Other",,,
"Support judgments: interest accrual and incarcerated persons.","Judiciary","Crime",,
"Supplemental instruction.","Education",,,
"Supplemental education services.","Education",,,
"Summer Learning and Wellness Month.","Education","Health",,
"Substance abuse: adult recovery maintenance facilities.","Health",,,
"Subdivisions: water supply.","Environmental","Health",,
"Subdivisions: release of performance security.","Other",,,
"Subdivisions: major thoroughfares.","Transportation",,,
"Subdivisions: Water Conservation Mitigation Fund.","Environmental",,,
"Subdivision map approval: validity of map.","Other",,,
"Students with Epilepsy Month.","Education","Health",,
"Student financial aid: veterans and dependents.","Education","Military",,
"Student financial aid: members and former members of the Armed Forces.","Education","Military",,
"Student financial aid: institutional financial aid eligibility.","Education",,,
"Student financial aid: eligibility: California Dream Act of 2010.","Education","Immigration",,
"Student financial aid: Cal Grant Program.","Education",,,
"Student financial aid: Cal Grant C awards.","Education",,,
"Student financial aid: Cal Grant A Entitlement Awards: veterans.","Education","Military",,
"Student financial aid: Assumption Program of Loans for Education: school nurses. ","Education","Health",,
"Student financial aid program: military services. ","Education","Military",,
"Student fees: resident classification.","Education",,,
"Student athletes: recruiting.","Education",,,
"Structured settlements: payment transfers.","Commerce",,,
"Striped bass.","Animal Rights and Wildlife Issues",,,
"Steve Faris Memorial Highway.","Transportation",,,
"Step Up California Month and Step Up California Day.","Resolutions",,,
"Stem cell research: intellectual property standards.","Science and Medical Research","Legal Issues",,
"Stem cell research: federal legislation.","Science and Medical Research","Federal, State, and Local Relations","Legal Issues",
"Statutory wills: form.","Legal Issues",,,
"Statutory close corporations.","Labor and Employment","Business and Consumers",,
"Statutory adjudication.","Legal Issues",,,
"Statewide student fee policy.","Education",,,
"Statewide Watershed Program.","Environmental",,,
"Statewide Forms Management Program.","Other",,,
"State-owned motor vehicles.","Transportation",,,
"State-mandated local programs: school districts.","Education",,,
"State-mandated local programs.","State Agencies",,,
"State water policy.","State Agencies","Environmental",,
"State warrants.","State Agencies",,,
"State teachers’ retirement: postretirement earnings.","Education","Senior Issues",,
"State teachers’ retirement: creditable service: community colleges.","Education","Senior Issues",,
"State teachers’ retirement: administration: benefits. ","Education","Senior Issues",,
"State teachers’ retirement system.","Education","Senior Issues",,
"State taxes: vote requirement. ","Budget, Spending, and Taxes",,,
"State surplus property: Los Angeles Memorial Coliseum.","State Agencies","Municipal and County Issues",,
"State surplus personal property: centralized sale. ","State Agencies",,,
"State scientists: salaries.","State Agencies","Science and Medical Research","Labor and Employment",
"State retirement: benefit programs.","State Agencies","Labor and Employment","Senior Issues",
"State property: sale.","State Agencies",,,
"State property: inventory.","State Agencies",,,
"State property: San Buenaventura State Beach. ","State Agencies","Environmental",,
"State property: Harts Mill Forest Fire Station: transfer. ","State Agencies","Public Services",,
"State property: Department of the California Highway Patrol.","State Agencies","Transportation",,
"State property: Department of Forestry and Fire Protection.","State Agencies","Public Services",,
"State property: City of Red Bluff.","State Agencies","Municipal and County Issues",,
"State preschool.","State Agencies","Education",,
"State parks: transfer: local governments.","State Agencies","Municipal and County Issues",,
"State parks: acquired land: limits on disposition or use.","State Agencies","Housing and Property",,
"State parks: Columbia Historic State Park.","State Agencies","Environmental",,
"State parks: Colonel Allensworth State Historic Park.","State Agencies","Environmental",,
"State parks: California Citrus State Historic Park: operating agreement.","State Agencies","Environmental",,
"State parks system: unit modification, adjustment, or removal.","State Agencies",,,
"State park system: benches: deaths in the water: warnings.","State Agencies","Health",,
"State park system: beaches.","State Agencies","Environmental",,
"State militia: armories: leases and sales. ","State Agencies","Military",,
"State militia: Adjutant General: duties.","State Agencies","Military",,
"State mandates. ","State Agencies",,,
"State lands: wilderness areas.","State Agencies","Environmental",,
"State lands: tidelands and submerged lands.","State Agencies","Environmental",,
"State lands: oil, gas, and mineral leases.","State Agencies","Energy",,
"State holidays: Veterans Day: state office closure.","State Agencies",,,
"State highways: relinquishment.","State Agencies","Transportation",,
"State highways: maintenance or construction: damage to local roads.","State Agencies","Transportation",,
"State highways.","State Agencies","Transportation",,
"State government: warrants: employee designees.","State Agencies","Labor and Employment",,
"State government: the arts.","State Agencies","Arts and Humanities",,
"State government: small business certification.","State Agencies","Business and Consumers",,
"State government: research.","State Agencies","Science and Medical Research",,
"State government: reports: declarations.","State Agencies",,,
"State government: reporting requirements: required repealer.","State Agencies",,,
"State government: law enforcement telecommunications system.","State Agencies","Technology and Communication",,
"State government: international relations.","State Agencies",,,
"State government: information technology: environmental practices.","State Agencies","Technology and Communication","Environmental",
"State government: executive reorganization.","State Agencies",,,
"State government: energy efficiency.","State Agencies","Energy",,
"State government: economic development.","State Agencies","Commerce",,
"State government: boards, commissions, committees: repeal.","State Agencies",,,
"State government: board of forestry and fire protection: abolishment.","State Agencies","Environmental","Public Services",
"State government: agency repeals.","State Agencies",,,
"State government: agencies, commissions, boards: repeal.","State Agencies",,,
"State government: Department of Finance: reporting requirements: tax expenditures.","State Agencies","Budget, Spending, and Taxes",,
"State government: California Emergency Management Agency.","State Agencies",,,
"State government.","State Agencies",,,
"State government information technology.","State Agencies","Technology and Communication",,
"State funds: registered warrants.","State Agencies",,,
"State funds: electronic report. ","State Agencies",,,
"State fiscal analysis. ","State Agencies",,,
"State finance: performance budgeting.","State Agencies","Budget, Spending, and Taxes",,
"State employment: adverse actions.","State Agencies","Labor and Employment",,
"State employees. ","State Agencies","Labor and Employment",,
"State employee merit awards.","State Agencies","Labor and Employment",,
"State employee compensation.","State Agencies","Labor and Employment",,
"State developmental centers.","State Agencies",,,
"State correctional system. ","State Agencies","Crime",,
"State contracts: reciprocal preference.","State Agencies",,,
"State contracts: procurement practices: small businesses.","State Agencies","Business and Consumers",,
"State contracts: participation goals: persons with developmental disabilities business enterprises.","State Agencies","Business and Consumers",,
"State contracts: motor vehicles: fuel efficiency.","State Agencies","Transportation",,
"State contracts: goods: loss leader. ","State Agencies",,,
"State contracts: employment clauses.","State Agencies","Labor and Employment",,
"State buildings: leases and construction.","State Agencies","Business and Consumers",,
"State buildings: building locations: considerations.","State Agencies","Housing and Property",,
"State budget: 2-year spending plan.","State Agencies","Budget, Spending, and Taxes",,
"State budget process: nonrecurring revenue.","State Agencies",,,
"State bonds: sale.","State Agencies",,,
"State boards and commissions: salaries: suspension.","State Agencies","Labor and Employment",,
"State boards and commissions: annual salaries.","State Agencies","Labor and Employment",,
"State agency promotions: commercials.","State Agencies",,,
"State agency Web sites: information.","State Agencies","Technology and Communication",,
"State agencies: regulations: review.","State Agencies",,,
"State agencies: period review.","State Agencies",,,
"State agencies: information: Internet Web site.","State Agencies","Technology and Communication",,
"State agencies: funds.","State Agencies",,,
"State agencies: collection of demographic data.","State Agencies",,,
"State agencies: civil and administrative penalties.","State Agencies",,,
"State agencies: advertising agreements.","State Agencies","Commerce",,
"State agencies: adjudications: presiding officers.","State Agencies",,,
"State agencies: accounts: reports.","State Agencies",,,
"State agencies.","State Agencies",,,
"State adoption services: investment.","State Agencies","Family and Children Issues",,
"State Youth and Family Master Plan.","State Agencies","Family and Children Issues",,
"State Water Resources Development System: water delivery.","Environmental",,,
"State Water Resources Control Board: diversions.","Environmental",,,
"State Water Resources Control Board: California regional water quality control boards.","Environmental",,,
"State Water Pollution Control Revolving Fund: severely disadvantaged communities.","Environmental",,,
"State Water Pollution Control Revolving Fund Small Community Grant Fund.","Environmental",,,
"State Teachers’ Retirement System: service credit.","Education","Senior Issues","Labor and Employment",
"State Teachers’ Retirement System.","Education","Senior Issues","Labor and Employment",
"State Nursing Assumption Program of Loans for Education: veterans homes.","Health","Education","Military",
"State Military Reserve: arms and equipment.","Military",,,
"State Historical Building Code: playgrounds.","Recreation",,,
"State Highway Routes 82 and 130: relinquishment.","Transportation",,,
"State Highway Route 66: City of Claremont.","Transportation","Municipal and County Issues",,
"State Highway Route 49: relinquishment.","Transportation",,,
"State Highway Route 238.","Transportation",,,
"State Highway Route 146.","Transportation",,,
"State Highway Operation and Protection Program Emergency Funding Act.","Transportation",,,
"State General Obligation Bond Law: audits.","Legal Issues",,,
"State Fire Marshal: inspections and licensing.","State Agencies",,,
"State Energy Resources Conservation and Development Commission: membership.","Energy",,,
"State Department of Developmental Services.","State Agencies",,,
"State Contract Act: contracting by state agencies.","Legislative Affairs",,,
"State Contract Act project notification requirements.","Legislative Affairs",,,
"State Compensation Insurance Fund: board.","Insurance",,,
"State Compensation Insurance Fund: audits.","Insurance",,,
"State Compensation Insurance Fund.","Insurance",,,
"State Commission on Juvenile Justice: report.","Crime","Family and Children Issues",,
"State Coastal Conservancy.","Environmental",,,
"State Chief Information Officer: fingerprints: criminal history.","State Agencies","Crime",,
"State Chief Information Officer.","State Agencies",,,
"State Capitol: Ronald Reagan Memorial.","State Agencies",,,
"State Capitol Sustainability Task Force.","State Agencies",,,
"State Capitol Sustainability Initiative Task Force.","State Agencies",,,
"State Board of Equalization: taxes and fees.","State Agencies","Budget, Spending, and Taxes",,
"State Board of Equalization: local tax revenues: video.","State Agencies","Budget, Spending, and Taxes","Technology and Communication",
"State Auditor: confidential records.","State Agencies",,,
"State Auditor: Bureau of State Audits: budget.","State Agencies","Budget, Spending, and Taxes",,
"State Auditor.","State Agencies",,,
"State Allocation Board: Office of Public School Construction.","State Agencies","Education",,
"State Air Resources Board: public membership: small business owner.","State Agencies","Business and Consumers",,
"State Air Resources Board: pavement coatings.","State Agencies",,,
"State Air Resources Board: election of board members.","State Agencies","Campaign Finance and Election Issues",,
"State Air Resources Board: dispute resolutions.","State Agencies",,,
"State Air Resources Board: cement.","State Agencies",,,
"State Air Resources Board: administrative and civil penalties.","State Agencies","Legal Issues",,
"Standardized testing: matricula consular: valid identification.","Education",,,
"Stalking: surveillance.","Legal Issues",,,
"Sprinkler fitters: licensing.","Other",,,
"Sports betting pools.","Gambling and Gaming",,,
"Spirit of ‘45 Day.","Resolutions",,,
"Spinal muscular atrophy.","Health",,,
"Speed traps: local street or road.","Transportation",,,
"Special taxes.","Budget, Spending, and Taxes",,,
"Special occupancy parks.","Environmental",,,
"Special legislative or congressional election: instant runoff voting.","Campaign Finance and Election Issues",,,
"Special legislative or congressional election: instant runoff voting","Campaign Finance and Election Issues",,,
"Special education: parental consent.","Education","Family and Children Issues",,
"Special education: local plans.","Education",,,
"Special education: local plan areas: funding.","Education",,,
"Special education: due process hearings.","Education",,,
"Special education: behavioral intervention plans: mandate claim: funding.","Education",,,
"Special education: alternative dispute resolution programs.","Education",,,
"Special education.","Education",,,
"Special education funding.","Education",,,
"Special districts: consolidation and reorganization.","Other",,,
"Special absentee voters.","Campaign Finance and Election Issues",,,
"Spaying and neutering. ","Animal Rights and Wildlife Issues",,,
"Spay Day USA 2010.","Animal Rights and Wildlife Issues",,,
"South coast district: diesel generators: communication facilities.","Energy","Technology and Communication",,
"South Orange Community College District: real property.","Education","Housing and Property",,
"South Lake Tahoe Public Utilities District: water meters.","Public Services",,,
"South Coast Air Quality Management District: emission reduction credits for electrical generating facilities.","Environmental","Energy",,
"South Coast Air Quality Management District: election of board members.","Environmental","Campaign Finance and Election Issues",,
"South Bay Irrigation District: directors.","Agriculture and Food",,,
"Sonoma Wine Country Weekend.","Agriculture and Food",,,
"Solid waste: waste tires.","Environmental",,,
"Solid waste: state agency recycling: electronic waste.","Environmental","Technology and Communication",,
"Solid waste: sharps waste.","Environmental",,,
"Solid waste: rigid plastic containers.","Environmental",,,
"Solid waste: resource recycling and recovery.","Environmental",,,
"Solid waste: product stewardship.","Environmental",,,
"Solid waste: plastic waste: management.","Environmental",,,
"Solid waste: multifamily dwellings.","Environmental","Housing and Property",,
"Solid waste: landfills: closure plans.","Environmental",,,
"Solid waste: landfills.","Environmental",,,
"Solid waste: grants and loans: eligibility.","Environmental",,,
"Solid waste: garbage and refuse disposal districts: governing board membership.","Environmental",,,
"Solid waste: extended producer responsibility program.","Environmental",,,
"Solid waste: diversion requirements.","Environmental",,,
"Solid waste: architectural paint.","Environmental",,,
"Solicitations.","Legal Issues",,,
"Solar water heating.","Energy",,,
"Solar energy: solar farms: credits.","Energy",,,
"Solar energy.","Energy",,,
"Solar energy projects: rental properties.","Energy","Housing and Property",,
"Solar energy and energy efficiency programs.","Energy",,,
"Solar and wind distributed generation.","Energy",,,
"Social security numbers.","Public Services",,,
"Social networking Internet Web sites: privacy: minors.","Technology and Communication","Family and Children Issues",,
"Social Security: retirement benefits: public employees.","Public Services","Labor and Employment","Senior Issues",
"Sober living homes.","Health",,,
"Smoke Detector Collection Act of 2009.","Health",,,
"Smog check: vehicle retirement.","Transportation",,,
"Smog check: annual inspection: repair assistance program.","Transportation",,,
"Smog check program: testing: penalties.","Transportation",,,
"Smog check program: motorcycles.","Transportation",,,
"Small schools.","Education",,,
"Small claims court: equitable relief.","Judiciary",,,
"Small business: Direct Loan Program.","Business and Consumers",,,
"Small business advocate: report on costly regulations. ","Business and Consumers",,,
"Small Business Regulatory Reform Commission.","Business and Consumers",,,
"Small Business Procurement and Contract Act: disabled veteran-owned small business preference.","Business and Consumers",,,
"Slot machines.","Gambling and Gaming",,,
"Slaughtered animals: pet food.","Animal Rights and Wildlife Issues",,,
"Skilled nursing facilities: Medi-Cal reimbursement: quality assurance fee.","Health",,,
"Single‑payer health care coverage. ","Health",,,
"Single-use carryout bags: environmental effects: mitigation.","Environmental",,,
"Shorthand reporting.","Other",,,
"Shorthand reporters: Transcript Reimbursement Fund.","Other",,,
"Short line railroads.","Transportation",,,
"Shelled eggs: sale for human consumption: compliance with animal care standards. ","Animal Rights and Wildlife Issues","Health","Agriculture and Food",
"Sexual deviation: research.","Science and Medical Research",,,
"Sexual assault.","Crime",,,
"Sexual assault crimes.","Crime",,,
"Sexual Assault Awareness Month: Denim Day California.","Crime",,,
"Sex offenses: rape: worktime credits.","Crime",,,
"Sex offenses: penalty enhancements.","Crime",,,
"Sex offenders: social networking prohibition: online address notification requirement.","Crime",,,
"Sex offenders: social networking prohibition.","Crime",,,
"Sex offenders: restrictions.","Crime",,,
"Sex offenders: residency restrictions.","Crime",,,
"Sex offenders: registration of Internet accounts and identifiers.","Crime","Technology and Communication",,
"Sex offenders: monitoring by global positioning systems.","Crime","Technology and Communication",,
"Sex offenders: mentally disordered offenders.","Crime","Health",,
"Sex offenders: licensed residential facilities: information.","Crime",,,
"Sex offenders: housing.","Crime","Housing and Property",,
"Sex offenders: disorderly conduct.","Crime",,,
"Sex offenders: commencing trial: time.","Crime",,,
"Sex offenders: child pornography: distribution.","Crime","Family and Children Issues",,
"Sex offenders: assessments. ","Crime",,,
"Sex offenders: assessments.","Crime",,,
"Sex offenders: Internet access.","Crime","Technology and Communication",,
"Sex offenders.","Crime",,,
"Sex crimes: minor victims: punishment.","Crime",,,
"Sex Offender Management Board. ","Crime",,,
"Service contracts: retailers. ","Commerce","Business and Consumers",,
"Service contracts.","Commerce",,,
"Seriously emotionally disturbed children: out-of-home placement.","Health","Family and Children Issues",,
"Sergeant Mark Dunakin, Sergeant Ervin Romans, and Officer John Hege Memorial Bridge.","Transportation",,,
"Sergeant Howard King Stevenson Memorial Highway.","Transportation",,,
"Sergeant Daniel Sakai Memorial Highway.","Transportation",,,
"Sergeant Curtis Massey Memorial Freeway.","Transportation",,,
"Sentencing: three strikes: Legislative Analyst report.","Crime","Judiciary",,
"Sentencing: prior felony conviction: prior juvenile adjudication.","Crime","Judiciary",,
"Sentencing: methamphetamine.","Crime","Judiciary",,
"Seniors: Multipurpose Senior Services Program.","Senior Issues",,,
"Senior insurance: actions against insurers.","Senior Issues","Insurance",,
"Senator Daniel E. Boatwright Highway.","Transportation",,,
"Self-service storage facilities.","Business and Consumers",,,
"Self-generation incentive program.","Other",,,
"Seismic safety: Office of Statewide Health Planning and Development.","Public Services","Science and Medical Research",,
"Secretary of the California Environmental Protection Agency: report.","Environmental","State Agencies",,
"Secretary of State: voter registration fraud.","State Agencies","Campaign Finance and Election Issues",,
"Secretary of State: duties: records.","State Agencies",,,
"Secondhand goods.","Business and Consumers",,,
"Search warrants: firearms.","Legal Issues","Guns",,
"Search warrants.","Legal Issues",,,
"Scleroderma Awareness Month.","Health",,,
"Science and mathematics instruction.","Education","Science and Medical Research",,
"Schools: safety.","Education","Health",,
"Schools: parent involvement.","Education","Family and Children Issues",,
"Schools: nutrition: beverages.","Education","Health",,
"Schools: health education.","Education","Health",,
"Schools: food service areas: water.","Education","Health",,
"Schools: criminal background of employees and board members.","Education","Labor and Employment","Crime",
"Schools: calendar: days of special significance.","Education",,,
"Schools: adopted course of study: sciences.","Education","Science and Medical Research",,
"Schoolbus Drivers’ Day.","Resolutions","Education",,
"School-to-Career Program.","Education",,,
"School-based programs: school-based motivation and maintenance program plans.","Education",,,
"School volunteers: athletic programs.","Education",,,
"School security and police departments: criminal activity involving firearms.","Education","Crime","Guns",
"School safety: immigration investigations.","Education","Immigration",,
"School safety: disruptive messages.","Education",,,
"School safety plans.","Education",,,
"School recycling programs.","Education","Environmental",,
"School personnel: Classified School Employee Training Program.","Education","Labor and Employment",,
"School meals: reimbursement.","Education",,,
"School facilities: water.","Education",,,
"School facilities: solar energy.","Education","Energy",,
"School facilities: schoolsites.","Education",,,
"School facilities: rent or lease: vacant classrooms.","Education",,,
"School facilities: recycling programs. ","Education","Environmental",,
"School facilities: plan review. ","Education",,,
"School facilities: new construction grant eligibility: special education pupils.","Education",,,
"School facilities: maintenance.","Education",,,
"School facilities: construction: seismic mitigation.","Education",,,
"School facilities: construction: modernization.","Education",,,
"School facilities: construction: cost containment.","Education",,,
"School facilities: compliance with Title IX.","Education","Sexual Orientation and Gender Issues",,
"School facilities: classroom function locks.","Education",,,
"School facilities: automatic fire sprinkler system.","Education",,,
"School employees: scope of representation. ","Education",,,
"School employees: school district reorganization.","Education",,,
"School employees: leaves of absence: classified employees elected to Legislature.","Education","Legislative Affairs","Labor and Employment",
"School employees: layoff notices.","Education","Labor and Employment",,
"School employees: collective bargaining: sick leave.","Education","Labor and Employment",,
"School employees and volunteers: Activity Supervisor Clearance Certificate.","Education",,,
"School districts: unification.","Education",,,
"School districts: state receivership: audits.","Education",,,
"School districts: recycling programs.","Education","Environmental",,
"School districts: personal services contracting.","Education",,,
"School districts: mandates.","Education",,,
"School districts: interdistrict attendance.","Education",,,
"School districts: emergency vehicles.","Education","Public Services","Transportation",
"School districts: contracts: formal bids: school facilities: notices.","Education",,,
"School districts: contracts: formal bids: notices.","Education",,,
"School districts of choice.","Education",,,
"School district reorganization.","Education",,,
"School district records.","Education",,,
"School district administrative costs.","Education",,,
"School curriculum: content standards.","Education",,,
"School attendance: online education.","Education","Technology and Communication",,
"School attendance: interdistrict transfers.","Education",,,
"School attendance.","Education",,,
"School accountability: lowest performing schools.","Education",,,
"School accountability: low-performing schools.","Education",,,
"School Bus Drivers’ Day.","Education","Resolutions",,
"Santa Susana State Park.","Environmental",,,
"Santa Monica Mountains Conservancy: Los Angeles River Watershed Program.","Environmental",,,
"Santa Monica Airport.","Transportation",,,
"Santa Clara County Department of Corrections: custodial officers: duties.","Crime","State Agencies",,
"San Joaquin Valley: water supply.","Environmental","Municipal and County Issues",,
"San Francisco-Oakland Bay Bridge: capital projects.","Transportation","Military",,
"San Francisco Bay/Sacramento-San Joaquin Delta Estuary: strategic work plan. ","Environmental","Military",,
"San Francisco Bay Restoration Authority.","Municipal and County Issues",,,
"San Francisco Bay Area Rapid Transit District: Office of Citizen Complaints.","Transportation","Military",,
"San Francisco Bay Area Rapid Transit District.","Transportation","Military",,
"San Fernando Valley Community Conservation Corps.","Municipal and County Issues","Environmental",,
"Salvageable personal property: collection boxes.","Other",,,
"Salton Sea Restoration Council. ","Environmental",,,
"Salmon restoration projects: funding.","Animal Rights and Wildlife Issues",,,
"Sales tax: exemption: rentals.","Budget, Spending, and Taxes",,,
"Sales and use taxes: vehicle license fee: income taxes: income tax administration: withholding rates.","Budget, Spending, and Taxes","Transportation",,
"Sales and use taxes: vehicle license fee: income taxes.","Budget, Spending, and Taxes","Transportation",,
"Sales and use taxes: use tax: income tax return.","Budget, Spending, and Taxes",,,
"Sales and use taxes: retailer: paving construction contractor.","Budget, Spending, and Taxes",,,
"Sales and use taxes: qualified use tax payment. ","Budget, Spending, and Taxes",,,
"Sales and use taxes: failure to furnish information. ","Budget, Spending, and Taxes",,,
"Sales and use taxes: exemptions: thrift stores operated by nonprofit organizations on military installations.","Budget, Spending, and Taxes","Military",,
"Sales and use taxes: exemptions: charitable organizations.","Budget, Spending, and Taxes",,,
"Sales and use taxes: exemption: veterans: itinerant vendors.","Budget, Spending, and Taxes","Military",,
"Sales and use taxes: exemption: nonprofit organization: mandatory gratuities.","Budget, Spending, and Taxes",,,
"Sales and use taxes: exemption: manufacturing equipment: photovoltaic panels.","Budget, Spending, and Taxes","Energy",,
"Sales and use taxes: exemption: manufacturing equipment: income taxes: subsidized parking: nontaxable exchanges.","Budget, Spending, and Taxes",,,
"Sales and use taxes: exemption: manufacturing equipment: corporate income tax: single sales factor.","Budget, Spending, and Taxes",,,
"Sales and use taxes: exemption: automobile manufacturing equipment.","Budget, Spending, and Taxes","Transportation",,
"Sales and use taxes: consumers: itinerant vendors. ","Budget, Spending, and Taxes",,,
"Sales and use taxes: consumer: garment cleaner.","Budget, Spending, and Taxes",,,
"Sales and use taxes: consumer: destination management company. ","Budget, Spending, and Taxes",,,
"Sales and use taxes: consumer: destination management company.","Budget, Spending, and Taxes",,,
"Sales and use taxes: collections agreements: delinquent accounts.","Budget, Spending, and Taxes",,,
"Sales and use taxes: Domestic Violence Prevention Fund: Domestic Abuser Surveillance Fund.","Budget, Spending, and Taxes",,,
"Sales and use taxes. ","Budget, Spending, and Taxes",,,
"Sales and use tax: services: exemption.","Budget, Spending, and Taxes",,,
"Sales and use tax: manufacturing equipment: energy and water use.","Budget, Spending, and Taxes",,,
"Sales and use tax.","Budget, Spending, and Taxes",,,
"Sales Tax Fairness and Simplification Act.","Budget, Spending, and Taxes",,,
"Sale of goods: breach: damages.","Business and Consumers",,,
"Sale of goods: breach of warranty: consequential damages.","Business and Consumers",,,
"Sale and use tax.","Budget, Spending, and Taxes",,,
"Safe, Clean, and Reliable Drinking Water Supply Act of 2010: water quality control plan.","Environmental","Health","Public Services",
"Safe, Clean, and Reliable Drinking Water Supply Act of 2010: New River Improvement Project: strategic plan.","Environmental","Health","Public Services",
"Safe, Clean, and Reliable Drinking Water Supply Act of 2010. ","Environmental","Health","Public Services",
"Safe, Clean, Reliable Water Supply Act: Central Valley Project Improvement Program.","Environmental","Health","Public Services",
"Safe, Clean, Reliable Drinking Water Supply Act of 2010. ","Environmental","Health","Public Services",
"Safe, Clean, Reliable Drinking Water Supply Act of 2010.","Environmental","Health","Public Services",
"Safe, Clean, Reliable Drinking Water Supply Act of 2009. ","Environmental","Health","Public Services",
"Safe Routes to School Construction Program.","Education","Transportation",,
"Safe Drinking Water, Clean Water, Watershed Protection, and Flood Protection Bond Act: groundwater storage projects.","Environmental","Health","Public Services",
"Safe Drinking Water State Revolving Fund.","Environmental","Health","Public Services",
"Safe Body Art Act.","Health",,,
"Sacramento-San Joaquin River Delta, Clean Drinking Water, Water Supply Security, and Environmental Improvement Act of 2009.","Environmental","Health","Public Services",
"Sacramento-San Joaquin Delta: Final Delta Vision Strategic Plan.","Environmental",,,
"Sacramento-San Joaquin Delta. ","Environmental",,,
"Sacramento-San Joaquin Delta Multi-Hazard Coordination Task Force.","Environmental",,,
"Sacramento-San Joaquin Delta Conservancy.","Environmental",,,
"Ryan White HIV/AIDS Treatment Modernization Act of 2006.","Health",,,
"Rural hospitals: physician services.","Health",,,
"Rural Health Care Equity Program.","Health",,,
"Rudolph B. Davila Memorial Interchange.","Resolutions",,,
"Roy Wilson Memorial Highway.","Transportation",,,
"Ronald Reagan Centennial Commission.","Resolutions",,,
"Roberto “Bobby” Salcedo Memorial Highway.","Transportation",,,
"Riverside County Transportation Commission.","Transportation",,,
"Riverside Community College District: transportation fees.","Education","Transportation",,
"Right to work: labor organizations.","Labor and Employment",,,
"Reunification of Ireland.","Other",,,
"Retirement: pension fund.","Senior Issues","Labor and Employment",,
"Retirement: military service. ","Senior Issues","Military",,
"Retirement: California Employee Savings Program.","Senior Issues","Labor and Employment","State Agencies",
